dataset_index,CID,IUPAC,SMILES,MolecularFormula,MolecularWeight,InChI,InChIKey,Title,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,PatentCount,PatentFamilyCount,LiteratureCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Fingerprint2D
4,4,1-aminopropan-2-ol,CC(O)CN,C3H9NO,75.11,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",HXKKHQJGJAFBHI-UHFFFAOYSA-N,1-Aminopropan-2-ol,-1.0,75.068413911,75.068413911,46.2,22.9,0.0,2.0,2.0,1.0,5.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,75460,31266,653,63.3,1.98,1.2,0.63,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.4,1.0,6,AAADccBCIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACBThgAYCAABAAgAAAAAAAAAAAAAAAAAAAIAAAAACEAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
5,5,(3-amino-2-oxopropyl) dihydrogen phosphate,NCC(=O)COP(=O)(O)O,C3H8NO5P,169.07,"InChI=1S/C3H8NO5P/c4-1-3(5)2-9-10(6,7)8/h1-2,4H2,(H2,6,7,8)",HIQNVODXENYOFK-UHFFFAOYSA-N,3-Amino-2-oxopropyl phosphate,-5.0,169.01400935,169.01400935,110.0,162.0,0.0,3.0,6.0,4.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,7,4,3,112.8,6.18,1.12,0.84,7.0,4.0,1.0,1.0,1.0,0.0,0.0,0.6,4.0,10,AAADccBCOAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCCAACAThgAYAAABAARAIQIAQAIIAAAAAAAAAAIDAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
8,8,"2,3-dihydroxy-3-methylpentanoic acid",CCC(C)(O)C(O)C(=O)O,C6H12O4,148.16,"InChI=1S/C6H12O4/c1-3-6(2,10)4(7)5(8)9/h4,7,10H,3H2,1-2H3,(H,8,9)",PDGXJDXVGMHUIR-UHFFFAOYSA-N,"2,3-Dihydroxy-3-methylpentanoic acid",-0.4,148.07355886,148.07355886,77.8,134.0,0.0,3.0,4.0,3.0,10.0,0.0,2,0.0,2.0,0,0.0,0.0,1.0,485,118,8,112.8,3.11,1.47,1.21,8.0,4.0,2.0,1.0,0.0,0.0,1.0,0.6,3.0,10,AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADFSggAICCAAAAgAIAACQCAIAAAAAAAAAAAFAAAABEBYAAAAAQAAFIAABAACIAAAKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
10,12,"benzene-1,2,3,5-tetrol",Oc1cc(O)c(O)c(O)c1,C6H6O4,142.11,"InChI=1S/C6H6O4/c7-3-1-4(8)6(10)5(9)2-3/h1-2,7-10H",RDJUHLUBPADHNP-UHFFFAOYSA-N,"1,2,3,5-Tetrahydroxybenzene",0.8,142.02660867,142.02660867,80.9,104.0,0.0,4.0,4.0,0.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,383,166,36,102.3,2.71,2.16,0.58,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.4,0.0,1,AAADcYBgOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAACASAkAAwBoAAAgCAACBCAAACAAAgIAAAiAAGiIgJJyKCERKAcAElwBUJmAfAYAQAAQAACAAAQAACAAAQAACAAAAAAAAAAA==
11,13,"1,2,4-trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,C6H3Cl3,181.4,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,PBKONEOXTCPAFI-UHFFFAOYSA-N,"1,2,4-Trichlorobenzene",4.0,179.930033,179.930033,0.0,94.3,0.0,0.0,0.0,0.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,53502,17140,1990,115.1,3.87,1.95,0.63,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,1,AAADcQBgAAAGAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGAIAAAAACAKAECAwAIAAAACAACBCAAACAAAgBQAIikAAAogIICKBExCAIAAggAAIiAcAAAAAAAAQAACAAAQAACAAAQAACAAAAAAAAA==
18,21,2-ethyl-2-hydroxy-3-oxobutanoic acid,CCC(O)(C(C)=O)C(=O)O,C6H10O4,146.14,"InChI=1S/C6H10O4/c1-3-6(10,4(2)7)5(8)9/h10H,3H2,1-2H3,(H,8,9)",VUQLHQFKACOHNZ-UHFFFAOYSA-N,2-Aceto-2-hydroxybutanoate,-0.2,146.0579088,146.0579088,74.6,163.0,0.0,2.0,4.0,3.0,10.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,541,170,33,110.7,2.55,1.68,1.28,7.0,4.0,1.0,1.0,0.0,0.0,1.0,0.6,3.0,10,AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADESAgAACCAAAAgAIAICQCAIAAAAAAAAAAAFAAAABABYIAAAAQAAEIAABAAAAAAAKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
19,22,2-hydroxy-2-methyl-3-oxobutanoic acid,CC(=O)C(C)(O)C(=O)O,C5H8O4,132.11,"InChI=1S/C5H8O4/c1-3(6)5(2,9)4(7)8/h9H,1-2H3,(H,7,8)",NMDWGEGFJUBKLB-UHFFFAOYSA-N,2-Hydroxy-2-methyl-3-oxobutanoic acid,-0.7,132.04225873,132.04225873,74.6,151.0,0.0,2.0,4.0,2.0,9.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,1774,754,77,98.5,2.59,1.4,1.05,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.4,2.0,10,AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADESAgAACCAAAAgAIAICQCAIAAAAAAAAAAAFAAAABABQIAAAAQAAEIAABAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
22,29,2-amino-3-oxopropanoic acid,NC(C=O)C(=O)O,C3H5NO3,103.08,"InChI=1S/C3H5NO3/c4-2(1-5)3(6)7/h1-2H,4H2,(H,6,7)",XMTCKNXTTXDPJX-UHFFFAOYSA-N,3-Oxoalanine,-3.7,103.026943022,103.026943022,80.4,90.2,0.0,2.0,4.0,2.0,7.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,597,108,105,74.7,2.0,1.49,0.74,7.0,3.0,1.0,2.0,1.0,0.0,0.0,0.4,2.0,10,AAADcYBCMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjhgAYACABAAgAIAAiQiAAAAAAAAAAAAIGAAAACAAQIAAAAQAAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
23,30,"2-amino-6-oxohexa-2,4-dienoic acid",NC(=CC=CC=O)C(=O)O,C6H7NO3,141.12,"InChI=1S/C6H7NO3/c7-5(6(9)10)3-1-2-4-8/h1-4H,7H2,(H,9,10)",QCGTZPZKJPTAEP-UHFFFAOYSA-N,"2-Amino-6-oxohexa-2,4-dienoic acid",-0.3,141.042593085,141.042593085,80.4,193.0,0.0,2.0,4.0,3.0,10.0,0.0,0,0.0,0.0,2,0.0,2.0,1.0,103,34,2,109.3,7.33,1.14,0.58,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.6,3.0,5,AAADcYBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACAihgAIACABAAgCIACzSyAAAAAAAAgAICACAAEAKBAAAAQAAEAAAAAAAkYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
26,33,2-chloroacetaldehyde,O=CCCl,C2H3ClO,78.5,"InChI=1S/C2H3ClO/c3-1-2-4/h2H,1H2",QSKPIOLLBIHNAC-UHFFFAOYSA-N,Chloroacetaldehyde,0.3,77.9872424,77.9872424,17.1,20.0,0.0,0.0,1.0,1.0,4.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,33074,12044,1330,55.6,1.94,1.03,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,3,AAADcQBAIAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgIAAAAAAAOggEIAAAAAAAAIAAgQgAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
27,34,2-chloroethanol,OCCCl,C2H5ClO,80.51,"InChI=1S/C2H5ClO/c3-1-2-4/h4H,1-2H2",SZIFAVKTNFCBPC-UHFFFAOYSA-N,2-Chloroethanol,-0.1,80.0028925,80.0028925,20.2,10.0,0.0,1.0,1.0,1.0,4.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,35304,17208,1796,57.5,2.0,0.99,0.66,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,1.0,3,AAADcYBAIAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgIACAAAAAOggEIAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAQAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
31,38,"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid",CC(C)(CO)C(=O)C(=O)O,C6H10O4,146.14,"InChI=1S/C6H10O4/c1-6(2,3-7)4(8)5(9)10/h7H,3H2,1-2H3,(H,9,10)",PKVVTUWHANFMQC-UHFFFAOYSA-N,2-Dehydropantoate,-0.1,146.0579088,146.0579088,74.6,159.0,0.0,2.0,4.0,3.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,534,189,29,109.9,2.7,1.41,1.34,7.0,4.0,1.0,1.0,0.0,0.0,1.0,0.6,3.0,10,AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADgSggAICCAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAEBQAAAAAQAAEIAAAAABCAAAJAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
32,39,"4,4-dimethyloxolane-2,3-dione",CC1(C)COC(=O)C1=O,C6H8O3,128.13,"InChI=1S/C6H8O3/c1-6(2)3-9-5(8)4(6)7/h3H2,1-2H3",HRTOQFBQOFIFEE-UHFFFAOYSA-N,"Dihydro-4,4-dimethyl-2,3-Furandione",0.6,128.047344113,128.047344113,43.4,169.0,0.0,0.0,3.0,0.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,272,101,78,99.1,2.48,1.44,0.98,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.4,0.6,2,AAADccBgMAAAAAAAAAAAAAAAAAAAASAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADgSggAICCAAABAAIAICQCAIAAAAAAAAAAAFAAAAAABQAAAQCAAAEIAAAAAACAAAJAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
