CID,SMILES,source,SMILES_Hs,SMILES_noHs,levenshtein_distance,length_diff
1,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,SMILES,C(C(=O)OC(C(C(=O)[O-])([H])[H])(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])([H])([H])[H],CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,79,79
2,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,SMILES,C(C(=O)OC(C(C(=O)O[H])([H])[H])(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])([H])([H])[H],CC(=O)OC(CC(=O)O)C[N+](C)(C)C,82,82
3,O=C(O)C1=CC=CC(O)C1O,SMILES,O=C(O[H])C1=C([H])C([H])=C([H])C(O[H])([H])C1(O[H])[H],O=C(O)C1=CC=CC(O)C1O,34,34
4,CC(O)CN,SMILES,C(C(O[H])(C(N([H])[H])([H])[H])[H])([H])([H])[H],CC(O)CN,41,41
5,NCC(=O)COP(=O)(O)O,SMILES,N(C(C(=O)C(OP(=O)(O[H])O[H])([H])[H])([H])[H])([H])[H],NCC(=O)COP(=O)(O)O,36,36
6,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,SMILES,O=[N+]([O-])c1c([H])c([H])c(Cl)c([N+](=O)[O-])c1[H],O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,13,13
7,CCn1cnc2c(N)ncnc21,SMILES,C(C(n1c([H])nc2c(N([H])[H])nc([H])nc12)([H])[H])([H])([H])[H],CCn1cnc2c(N)ncnc12,43,43
8,CCC(C)(O)C(O)C(=O)O,SMILES,C(C(C(C([H])([H])[H])(O[H])C(O[H])(C(=O)O[H])[H])([H])[H])([H])([H])[H],CCC(C)(O)C(O)C(=O)O,52,52
9,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,SMILES,O=P(O[H])(O[H])OC1([H])C(O[H])([H])C(O[H])([H])C(O[H])([H])C(O[H])([H])C1(O[H])[H],O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,51,51
12,Oc1cc(O)c(O)c(O)c1,SMILES,O(c1c([H])c(O[H])c(O[H])c(O[H])c1[H])[H],Oc1cc(O)c(O)c(O)c1,22,22
13,Clc1ccc(Cl)c(Cl)c1,SMILES,Clc1c([H])c([H])c(Cl)c(Cl)c1[H],Clc1ccc(Cl)c(Cl)c1,13,13
14,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,SMILES,C(C(C(C(C(C(=O)C(=C(C1([H])C(O[H])([H])C([H])([H])C(=O)C1(C(C(C(C(C(C(C(=O)O[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,156,156
15,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,SMILES,C(C12C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])C([H])([H])C4([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C34C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C2(O[H])[H])([H])([H])[H],CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,146,146
17,O=C(O)C1=NC(C(=O)O)CC=C1,SMILES,O=C(O[H])C1=NC(C(=O)O[H])([H])C([H])([H])C([H])=C1[H],O=C(O)C1=NC(C(=O)O)CC=C1,29,29
18,O=C(O)C(=O)C(=O)C(O)C(O)CO,SMILES,O=C(O[H])C(=O)C(=O)C(O[H])(C(O[H])(C(O[H])([H])[H])[H])[H],O=C(O)C(=O)C(=O)C(O)C(O)CO,32,32
19,O=C(O)c1cccc(O)c1O,SMILES,O=C(O[H])c1c([H])c([H])c([H])c(O[H])c1O[H],O=C(O)c1cccc(O)c1O,24,24
20,O=C(O)CCc1cccc(O)c1O,SMILES,O=C(O[H])C(C(c1c([H])c([H])c([H])c(O[H])c1O[H])([H])[H])([H])[H],O=C(O)CCc1cccc(O)c1O,44,44
21,CCC(O)(C(C)=O)C(=O)O,SMILES,C(C(C(O[H])(C(C([H])([H])[H])=O)C(=O)O[H])([H])[H])([H])([H])[H],CCC(O)(C(C)=O)C(=O)O,44,44
22,CC(=O)C(C)(O)C(=O)O,SMILES,C(C(=O)C(C([H])([H])[H])(O[H])C(=O)O[H])([H])([H])[H],CC(=O)C(C)(O)C(=O)O,34,34
23,NC(C(=O)O)=C(C=CC=O)C(=O)O,SMILES,N(C(C(=O)O[H])=C(C(=C(C(=O)[H])[H])[H])C(=O)O[H])([H])[H],NC(C(=O)O)=C(C=CC=O)C(=O)O,31,31
28,NC(=CC=CC(=O)O)C(=O)O,SMILES,N(C(=C(C(=C(C(=O)O[H])[H])[H])[H])C(=O)O[H])([H])[H],NC(=CC=CC(=O)O)C(=O)O,31,31
29,NC(C=O)C(=O)O,SMILES,N(C(C(=O)[H])(C(=O)O[H])[H])([H])[H],NC(C=O)C(=O)O,23,23
